naive;0;13252432
naive;1;47107247
naive;2;147463002
naive;3;1704380297
naive;4;3362399873
naive;5;7538605809
naive;6;18466877373
naive;7;433747866603
straightforward;0;4227098
straightforward;1;12531866
straightforward;2;46410831
straightforward;3;188787913
straightforward;4;1558923529
straightforward;5;6237761024
straightforward;6;12960162105
straightforward;7;59033559284
earlyProjection;0;4142876
earlyProjection;1;14089218
earlyProjection;2;50215612
earlyProjection;3;188250583
earlyProjection;4;760315153
earlyProjection;5;3470219988
earlyProjection;6;12472989049
earlyProjection;7;55315559480
reordering;0;3703955
reordering;1;12538206
reordering;2;47700725
reordering;3;188140400
reordering;4;1498432536
reordering;5;8499859781
reordering;6;24104027712
reordering;7;98072993578
